target_id,kepid,target_name,kepoi_name,kepler_name,mission,class_label,koi_disposition,koi_pdisposition,koi_fpflag_nt,koi_fpflag_ss,koi_fpflag_co,koi_fpflag_ec,koi_period,koi_duration,koi_time0bk,koi_model_snr,koi_depth,koi_impact,koi_prad,koi_steff,koi_slogg,koi_srad,koi_kepmag,source_catalog,dataset_version,selection_seed
KIC 3338660,3338660,K03795.01,K03795.01,,Kepler,binary,FALSE POSITIVE,FALSE POSITIVE,0,1,0,0,1.873380717,10.1083,131.795634,1513.7,538720.0,0.27,89.79,5992.0,4.283,1.171,14.807,NASA Exoplanet Archive KOI Cumulative Table,v1_600,42
KIC 3440230,3440230,K06334.01,K06334.01,,Kepler,binary,FALSE POSITIVE,FALSE POSITIVE,0,1,0,0,2.881100027,9.43866,134.238752,3316.5,662830.0,0.829,446.29,8104.0,3.675,3.369,13.636,NASA Exoplanet Archive KOI Cumulative Table,v1_600,42
KIC 3534118,3534118,K03641.01,K03641.01,,Kepler,binary,FALSE POSITIVE,FALSE POSITIVE,0,1,0,0,178.4129899,2.9298,218.225235,535.1,37510.0,0.936,33.24,6078.0,4.346,1.148,13.944,NASA Exoplanet Archive KOI Cumulative Table,v1_600,42
KIC 3556229,3556229,K03899.01,K03899.01,,Kepler,binary,FALSE POSITIVE,FALSE POSITIVE,0,1,0,0,0.7967202,4.25304,132.288291,716.6,167720.0,0.839,56.89,5780.0,4.438,1.0,17.656,NASA Exoplanet Archive KOI Cumulative Table,v1_600,42
KIC 3644542,3644542,K03511.01,K03511.01,,Kepler,binary,FALSE POSITIVE,FALSE POSITIVE,0,1,0,0,119.67980316,32.1928,176.106325,5357.7,299050.0,0.527,193.91,8275.0,3.726,3.251,8.351,NASA Exoplanet Archive KOI Cumulative Table,v1_600,42
KIC 3742855,3742855,K00045.01,K00045.01,,Kepler,binary,FALSE POSITIVE,FALSE POSITIVE,0,1,0,0,6.397185875,5.8638,174.365353,394.7,18887.0,0.755,15.02,5780.0,4.438,1.0,13.133,NASA Exoplanet Archive KOI Cumulative Table,v1_600,42
KIC 3766353,3766353,K06359.01,K06359.01,,Kepler,binary,FALSE POSITIVE,FALSE POSITIVE,0,1,0,0,2.666961614,2.4774,133.719065,249.5,7583.4,1.276,40.68,6609.0,4.484,0.974,13.968,NASA Exoplanet Archive KOI Cumulative Table,v1_600,42
KIC 3830820,3830820,K06360.01,K06360.01,,Kepler,binary,FALSE POSITIVE,FALSE POSITIVE,0,1,0,0,15.582794732,3.76683,135.112903,439.3,52760.0,0.759,14.0,3849.0,4.703,0.546,15.368,NASA Exoplanet Archive KOI Cumulative Table,v1_600,42
KIC 3838496,3838496,K03700.01,K03700.01,,Kepler,binary,FALSE POSITIVE,FALSE POSITIVE,0,1,0,0,2.990252395,7.8462,133.110629,541.7,216440.0,1.117,89.85,5780.0,4.438,1.0,17.9,NASA Exoplanet Archive KOI Cumulative Table,v1_600,42
KIC 3851193,3851193,K06367.01,K06367.01,,Kepler,binary,FALSE POSITIVE,FALSE POSITIVE,0,1,0,0,1.341078755,3.86492,131.8392432,1829.3,112150.0,0.309,41.8,6368.0,4.323,1.225,13.682,NASA Exoplanet Archive KOI Cumulative Table,v1_600,42
KIC 3854101,3854101,K05018.01,K05018.01,,Kepler,binary,FALSE POSITIVE,FALSE POSITIVE,0,1,0,0,293.5056071,3.4075,328.7269,51.0,6824.0,1.341,48.59,5455.0,4.381,1.006,15.184,NASA Exoplanet Archive KOI Cumulative Table,v1_600,42
KIC 3869326,3869326,K05991.01,K05991.01,,Kepler,binary,FALSE POSITIVE,FALSE POSITIVE,0,1,0,0,8.58599537,2.4078,136.21367,36.9,818.0,0.316,39.03,4805.0,2.605,13.941,11.598,NASA Exoplanet Archive KOI Cumulative Table,v1_600,42
KIC 3964545,3964545,K03542.01,K03542.01,,Kepler,binary,FALSE POSITIVE,FALSE POSITIVE,0,1,0,0,3.012476415,3.31903,132.2466206,2060.3,198400.0,0.708,58.77,6015.0,4.329,1.088,14.776,NASA Exoplanet Archive KOI Cumulative Table,v1_600,42
KIC 4042026,4042026,K01180.01,K01180.01,,Kepler,binary,FALSE POSITIVE,FALSE POSITIVE,0,1,0,0,34.82008158,11.1711,163.015559,882.6,18848.0,0.663,11.36,5114.0,4.522,0.784,15.187,NASA Exoplanet Archive KOI Cumulative Table,v1_600,42
KIC 4247791,4247791,K00028.01,K00028.01,,Kepler,binary,FALSE POSITIVE,FALSE POSITIVE,0,1,0,0,4.100870416,8.15361,168.1460533,2619.2,123520.0,0.938,82.46,5923.0,4.118,1.51,11.26,NASA Exoplanet Archive KOI Cumulative Table,v1_600,42
KIC 4352168,4352168,K06404.01,K06404.01,,Kepler,binary,FALSE POSITIVE,FALSE POSITIVE,0,1,0,0,10.643743766,6.29783,134.9422857,3167.9,436510.0,0.353,47.87,5282.0,4.578,0.694,14.343,NASA Exoplanet Archive KOI Cumulative Table,v1_600,42
KIC 4356766,4356766,K03669.01,K03669.01,,Kepler,binary,FALSE POSITIVE,FALSE POSITIVE,0,1,0,0,1.731803197,5.6803,132.887574,221.1,44612.0,0.63,22.87,5761.0,4.426,1.029,15.449,NASA Exoplanet Archive KOI Cumulative Table,v1_600,42
KIC 4365461,4365461,K05058.01,K05058.01,,Kepler,binary,FALSE POSITIVE,FALSE POSITIVE,0,1,0,0,1.714414962,5.17207,131.8661453,6485.8,110130.0,1.181,116.92,6351.0,4.126,1.613,13.309,NASA Exoplanet Archive KOI Cumulative Table,v1_600,42
KIC 4375101,4375101,K06411.01,K06411.01,,Kepler,binary,FALSE POSITIVE,FALSE POSITIVE,0,1,0,0,61.25964956,12.1777,140.698649,880.3,233260.0,0.741,54.72,5912.0,4.532,0.889,15.518,NASA Exoplanet Archive KOI Cumulative Table,v1_600,42
KIC 4454219,4454219,K06416.01,K06416.01,,Kepler,binary,FALSE POSITIVE,FALSE POSITIVE,0,1,0,0,1.22578134,2.235,131.6062,86.8,99376.0,0.985,53.32,5780.0,4.438,1.0,17.431,NASA Exoplanet Archive KOI Cumulative Table,v1_600,42
KIC 4649305,4649305,K00143.01,K00143.01,,Kepler,binary,FALSE POSITIVE,FALSE POSITIVE,0,1,0,0,22.65117451,3.6895,140.337593,170.1,2250.0,0.925,7.62,6968.0,4.31,1.333,13.682,NASA Exoplanet Archive KOI Cumulative Table,v1_600,42
KIC 4678171,4678171,K06435.01,K06435.01,,Kepler,binary,FALSE POSITIVE,FALSE POSITIVE,0,1,0,0,15.288709179,5.00366,132.8060911,1758.7,512470.0,0.372,54.56,4464.0,4.577,0.719,15.993,NASA Exoplanet Archive KOI Cumulative Table,v1_600,42
KIC 4681152,4681152,K06436.01,K06436.01,,Kepler,binary,FALSE POSITIVE,FALSE POSITIVE,0,1,0,0,1.83592242,5.9942,132.077813,1378.9,30746.0,1.189,46.3,5930.0,4.472,0.976,13.134,NASA Exoplanet Archive KOI Cumulative Table,v1_600,42
KIC 4758350,4758350,K06447.01,K06447.01,,Kepler,binary,FALSE POSITIVE,FALSE POSITIVE,0,1,0,0,1.120997701,11.243,131.48486,58.1,145.6,1.114,66.58,6720.0,3.373,4.845,12.964,NASA Exoplanet Archive KOI Cumulative Table,v1_600,42
KIC 4815612,4815612,K05090.01,K05090.01,,Kepler,binary,FALSE POSITIVE,FALSE POSITIVE,0,1,0,0,1.928420823,3.8253,131.58805,438.3,191240.0,0.818,79.4,6615.0,4.257,1.326,15.175,NASA Exoplanet Archive KOI Cumulative Table,v1_600,42
KIC 4912589,4912589,K06469.01,K06469.01,,Kepler,binary,FALSE POSITIVE,FALSE POSITIVE,0,1,0,0,34.188302705,3.01179,132.1423013,2594.9,118440.0,0.957,74.5,5757.0,4.134,1.345,12.869,NASA Exoplanet Archive KOI Cumulative Table,v1_600,42
KIC 4940201,4940201,K06476.01,K06476.01,,Kepler,binary,FALSE POSITIVE,FALSE POSITIVE,0,1,0,0,4.408295716,3.62479,134.280413,386.1,37964.0,1.159,35.68,5496.0,4.607,0.743,14.984,NASA Exoplanet Archive KOI Cumulative Table,v1_600,42
KIC 5021732,5021732,K06490.01,K06490.01,,Kepler,binary,FALSE POSITIVE,FALSE POSITIVE,0,1,0,0,15.039464523,5.39796,144.137252,1133.5,66877.0,0.998,51.71,6410.0,4.329,1.178,13.623,NASA Exoplanet Archive KOI Cumulative Table,v1_600,42
KIC 5022440,5022440,K06491.01,K06491.01,,Kepler,binary,FALSE POSITIVE,FALSE POSITIVE,0,1,0,0,3.693951168,2.2534,133.61052,173.2,28290.0,0.917,20.88,5968.0,4.534,0.881,15.286,NASA Exoplanet Archive KOI Cumulative Table,v1_600,42
KIC 5037742,5037742,K05120.01,K05120.01,,Kepler,binary,FALSE POSITIVE,FALSE POSITIVE,0,1,0,0,250.4858,12.72,183.25,13.2,674.6,0.3157,2.1,5377.0,4.581,0.814,15.433,NASA Exoplanet Archive KOI Cumulative Table,v1_600,42
KIC 5112567,5112567,K04043.01,K04043.01,,Kepler,binary,FALSE POSITIVE,FALSE POSITIVE,0,1,0,0,1.6156052,14.55,131.4952,253.1,1582.0,1.149,34.69,6770.0,4.15,1.623,13.391,NASA Exoplanet Archive KOI Cumulative Table,v1_600,42
KIC 5113146,5113146,K05127.01,K05127.01,,Kepler,binary,FALSE POSITIVE,FALSE POSITIVE,0,1,0,0,18.78970984,4.13997,143.82465,488.7,40789.0,1.172,44.01,6477.0,4.439,0.884,15.115,NASA Exoplanet Archive KOI Cumulative Table,v1_600,42
KIC 5179609,5179609,K05132.01,K05132.01,,Kepler,binary,FALSE POSITIVE,FALSE POSITIVE,0,1,0,0,43.9311596,12.9395,134.214029,1070.3,9304.4,0.855,58.37,4888.0,3.257,5.132,12.776,NASA Exoplanet Archive KOI Cumulative Table,v1_600,42
KIC 5181804,5181804,K03638.01,K03638.01,,Kepler,binary,FALSE POSITIVE,FALSE POSITIVE,0,1,0,0,4.350460215,2.5276,132.27239,247.2,50424.0,4.203,533.08,6585.0,4.208,1.416,15.929,NASA Exoplanet Archive KOI Cumulative Table,v1_600,42
KIC 5271803,5271803,K06549.01,K06549.01,,Kepler,binary,FALSE POSITIVE,FALSE POSITIVE,0,1,0,0,0.5402463,13.93,131.5521,1.6,1148.0,0.9411,6.2,7296.0,4.249,1.498,13.681,NASA Exoplanet Archive KOI Cumulative Table,v1_600,42
KIC 5286786,5286786,K06554.01,K06554.01,,Kepler,binary,FALSE POSITIVE,FALSE POSITIVE,0,1,0,0,9.948701373,3.2922,138.55412,103.1,2749.5,1.277,29.19,5152.0,4.517,0.786,15.456,NASA Exoplanet Archive KOI Cumulative Table,v1_600,42
KIC 5288543,5288543,K06555.01,K06555.01,,Kepler,binary,FALSE POSITIVE,FALSE POSITIVE,0,1,0,0,3.457078812,5.24058,131.8058069,6009.0,315520.0,0.317,86.12,6526.0,4.182,1.482,13.585,NASA Exoplanet Archive KOI Cumulative Table,v1_600,42
KIC 5357470,5357470,K01674.01,K01674.01,,Kepler,binary,FALSE POSITIVE,FALSE POSITIVE,0,1,0,0,2.17257963,1.5794,133.00429,27.1,335.5,1.107,13.55,6038.0,4.34,0.971,14.845,NASA Exoplanet Archive KOI Cumulative Table,v1_600,42
KIC 5435816,5435816,K03696.01,K03696.01,,Kepler,binary,FALSE POSITIVE,FALSE POSITIVE,0,1,0,0,181.8521773,5.7725,251.877795,293.8,27559.0,1.189,46.38,6063.0,4.476,1.012,15.684,NASA Exoplanet Archive KOI Cumulative Table,v1_600,42
KIC 5444392,5444392,K06578.01,K06578.01,,Kepler,binary,FALSE POSITIVE,FALSE POSITIVE,0,1,0,0,0.759764419,5.72501,131.7927631,1728.1,393270.0,0.545,138.54,5807.0,3.93,1.909,11.378,NASA Exoplanet Archive KOI Cumulative Table,v1_600,42
KIC 5471059,5471059,K03956.01,K03956.01,,Kepler,binary,FALSE POSITIVE,FALSE POSITIVE,0,1,0,0,2.636899795,0.9105,132.07629,27.6,426.2,1.519,49.84,5524.0,4.54,0.847,14.72,NASA Exoplanet Archive KOI Cumulative Table,v1_600,42
KIC 5475712,5475712,K06588.01,K06588.01,,Kepler,binary,FALSE POSITIVE,FALSE POSITIVE,0,1,0,0,2.991884392,7.5583,134.175892,1280.3,123880.0,0.496,40.11,6596.0,4.4,1.094,13.28,NASA Exoplanet Archive KOI Cumulative Table,v1_600,42
KIC 5512513,5512513,K07730.01,K07730.01,,Kepler,binary,FALSE POSITIVE,FALSE POSITIVE,0,1,0,0,0.77459856,2.71,132.3192077,,,,,,,,14.737,NASA Exoplanet Archive KOI Cumulative Table,v1_600,42
KIC 5530881,5530881,K06594.01,K06594.01,,Kepler,binary,FALSE POSITIVE,FALSE POSITIVE,0,1,0,0,5.082523739,5.04732,132.9614122,5286.2,276280.0,0.269,61.88,6507.0,4.343,1.145,13.508,NASA Exoplanet Archive KOI Cumulative Table,v1_600,42
KIC 5565486,5565486,K03742.01,K03742.01,,Kepler,binary,FALSE POSITIVE,FALSE POSITIVE,0,1,0,0,1.412524016,5.74859,131.704429,1475.4,175780.0,0.846,68.92,6690.0,4.375,1.174,14.964,NASA Exoplanet Archive KOI Cumulative Table,v1_600,42
KIC 5598639,5598639,K06602.01,K06602.01,,Kepler,binary,FALSE POSITIVE,FALSE POSITIVE,0,1,0,0,0.648775795,4.34648,131.7459799,6873.9,108820.0,0.961,41.58,5143.0,4.559,0.776,10.201,NASA Exoplanet Archive KOI Cumulative Table,v1_600,42
KIC 5622250,5622250,K06608.01,K06608.01,,Kepler,binary,FALSE POSITIVE,FALSE POSITIVE,0,1,0,0,16.294213708,6.01687,143.1937219,7486.2,174010.0,0.612,68.05,6237.0,4.145,1.508,14.203,NASA Exoplanet Archive KOI Cumulative Table,v1_600,42
KIC 5641294,5641294,K06133.01,K06133.01,,Kepler,binary,FALSE POSITIVE,FALSE POSITIVE,0,1,0,0,2.6160943,21.34,132.5162,5.6,29.3,0.6458,0.81,6645.0,4.232,1.42,12.754,NASA Exoplanet Archive KOI Cumulative Table,v1_600,42
KIC 5647008,5647008,K08103.01,K08103.01,,Kepler,binary,FALSE POSITIVE,FALSE POSITIVE,0,1,0,0,0.799868354,6.613,131.997209,251.4,4928.8,1.274,34.7,5568.0,4.488,0.882,14.335,NASA Exoplanet Archive KOI Cumulative Table,v1_600,42
KIC 5649836,5649836,K03831.01,K03831.01,,Kepler,binary,FALSE POSITIVE,FALSE POSITIVE,0,1,0,0,0.597933142,3.47133,131.95669,1490.3,284380.0,0.634,63.46,5780.0,4.438,1.0,16.377,NASA Exoplanet Archive KOI Cumulative Table,v1_600,42
KIC 5730394,5730394,K03603.01,K03603.01,,Kepler,binary,FALSE POSITIVE,FALSE POSITIVE,0,1,0,0,5.519188936,7.1351,134.470023,2270.6,217070.0,0.459,43.06,5324.0,4.439,0.897,16.117,NASA Exoplanet Archive KOI Cumulative Table,v1_600,42
KIC 5738346,5738346,K01006.01,K01006.01,,Kepler,binary,FALSE POSITIVE,FALSE POSITIVE,0,1,0,0,30.6113932,3.576,374.6216,37.5,3472.0,1.264,19.68,3900.0,4.727,0.534,15.97,NASA Exoplanet Archive KOI Cumulative Table,v1_600,42
KIC 5738698,5738698,K06134.01,K06134.01,,Kepler,binary,FALSE POSITIVE,FALSE POSITIVE,0,1,0,0,2.404386969,7.40348,133.2105484,8577.4,313170.0,0.613,79.72,6466.0,4.278,1.21,11.941,NASA Exoplanet Archive KOI Cumulative Table,v1_600,42
KIC 5795648,5795648,K06016.01,K06016.01,,Kepler,binary,FALSE POSITIVE,FALSE POSITIVE,0,1,0,0,4.553370029,3.2209,135.433898,570.6,23692.0,0.951,25.84,6306.0,4.346,1.109,11.471,NASA Exoplanet Archive KOI Cumulative Table,v1_600,42
KIC 5796185,5796185,K03369.01,K03369.01,,Kepler,binary,FALSE POSITIVE,FALSE POSITIVE,0,1,0,0,42.559265547,3.36626,161.57039,950.0,207990.0,0.775,51.86,5764.0,4.548,0.863,15.831,NASA Exoplanet Archive KOI Cumulative Table,v1_600,42
KIC 5816806,5816806,K03645.01,K03645.01,,Kepler,binary,FALSE POSITIVE,FALSE POSITIVE,0,1,0,0,4.45543346,5.116,134.453921,508.6,245680.0,0.469,51.69,5780.0,4.438,1.0,17.046,NASA Exoplanet Archive KOI Cumulative Table,v1_600,42
KIC 5858519,5858519,K05206.01,K05206.01,,Kepler,binary,FALSE POSITIVE,FALSE POSITIVE,0,1,0,0,4.18236124,6.70175,134.053289,2666.0,193980.0,0.809,69.37,6188.0,4.314,1.166,14.74,NASA Exoplanet Archive KOI Cumulative Table,v1_600,42
KIC 5879448,5879448,K07745.01,K07745.01,,Kepler,binary,FALSE POSITIVE,FALSE POSITIVE,0,1,0,0,533.47707,23.71,245.3651,15.3,210.6,0.418,2.6,6077.0,3.931,1.759,13.294,NASA Exoplanet Archive KOI Cumulative Table,v1_600,42
KIC 5990753,5990753,K06645.01,K06645.01,,Kepler,binary,FALSE POSITIVE,FALSE POSITIVE,0,1,0,0,7.21636091,2.218,133.88924,37.2,384.7,0.017,18.03,5029.0,2.909,9.476,10.916,NASA Exoplanet Archive KOI Cumulative Table,v1_600,42
KIC 6044064,6044064,K06652.01,K06652.01,,Kepler,binary,FALSE POSITIVE,FALSE POSITIVE,0,1,0,0,5.06318803,13.8913,133.707285,1602.7,662680.0,3.4,302.18,5375.0,4.531,0.752,15.001,NASA Exoplanet Archive KOI Cumulative Table,v1_600,42
KIC 6058875,6058875,K03616.01,K03616.01,,Kepler,binary,FALSE POSITIVE,FALSE POSITIVE,0,1,0,0,0.56493412,2.57621,131.7871403,1361.5,252640.0,0.691,33.4,4748.0,4.729,0.534,15.839,NASA Exoplanet Archive KOI Cumulative Table,v1_600,42
KIC 6103049,6103049,K06662.01,K06662.01,,Kepler,binary,FALSE POSITIVE,FALSE POSITIVE,0,1,0,0,0.643171495,2.31285,131.8893076,641.4,41160.0,1.214,54.03,5899.0,4.387,0.989,15.147,NASA Exoplanet Archive KOI Cumulative Table,v1_600,42
KIC 6131659,6131659,K06667.01,K06667.01,,Kepler,binary,FALSE POSITIVE,FALSE POSITIVE,0,1,0,0,17.527826808,5.78491,144.5700534,2450.1,347520.0,0.567,49.36,5079.0,4.579,0.732,12.534,NASA Exoplanet Archive KOI Cumulative Table,v1_600,42
KIC 6220470,6220470,K06677.01,K06677.01,,Kepler,binary,FALSE POSITIVE,FALSE POSITIVE,0,1,0,0,8.144135648,8.88876,136.5054788,6113.7,87881.0,0.222,56.52,7605.0,4.123,1.862,13.96,NASA Exoplanet Archive KOI Cumulative Table,v1_600,42
KIC 6277594,6277594,K05255.01,K05255.01,,Kepler,binary,FALSE POSITIVE,FALSE POSITIVE,0,1,0,0,3.66115536,14.807,133.7708,27.8,34.3,0.676,0.81,6356.0,4.241,1.308,13.164,NASA Exoplanet Archive KOI Cumulative Table,v1_600,42
KIC 6363494,6363494,K03634.01,K03634.01,,Kepler,binary,FALSE POSITIVE,FALSE POSITIVE,0,1,0,0,1.815632406,3.35773,131.9113803,1413.9,61574.0,1.04,108.78,9954.0,4.07,2.408,14.42,NASA Exoplanet Archive KOI Cumulative Table,v1_600,42
KIC 6367628,6367628,K06696.01,K06696.01,,Kepler,binary,FALSE POSITIVE,FALSE POSITIVE,0,1,0,0,1.88984957,19.45,131.910944,401.5,249670.0,1.182,73.04,5328.0,4.571,0.716,13.035,NASA Exoplanet Archive KOI Cumulative Table,v1_600,42
KIC 6448768,6448768,K06712.01,K06712.01,,Kepler,binary,FALSE POSITIVE,FALSE POSITIVE,0,1,0,0,16.486796364,7.06797,131.6041706,3181.5,48943.0,0.309,46.92,6020.0,3.86,2.097,13.645,NASA Exoplanet Archive KOI Cumulative Table,v1_600,42
KIC 6466939,6466939,K06717.01,K06717.01,,Kepler,binary,FALSE POSITIVE,FALSE POSITIVE,0,1,0,0,1.142946648,3.40234,131.9010021,1054.4,412550.0,0.479,43.5,5058.0,4.651,0.608,14.454,NASA Exoplanet Archive KOI Cumulative Table,v1_600,42
KIC 6500206,6500206,K02451.01,K02451.01,,Kepler,binary,FALSE POSITIVE,FALSE POSITIVE,0,1,0,0,13.37499553,1.639,142.38153,16.9,458.1,0.045,2.01,5263.0,4.404,0.961,14.738,NASA Exoplanet Archive KOI Cumulative Table,v1_600,42
KIC 6521542,6521542,K06722.01,K06722.01,,Kepler,binary,FALSE POSITIVE,FALSE POSITIVE,0,1,0,0,2.212877035,4.66961,132.682428,2731.0,376200.0,0.518,69.18,6153.0,4.405,1.0,14.28,NASA Exoplanet Archive KOI Cumulative Table,v1_600,42
KIC 6591789,6591789,K06735.01,K06735.01,,Kepler,binary,FALSE POSITIVE,FALSE POSITIVE,0,1,0,0,5.08840787,4.77204,134.3553111,3095.0,386680.0,0.513,55.3,5618.0,4.583,0.791,15.353,NASA Exoplanet Archive KOI Cumulative Table,v1_600,42
KIC 6606282,6606282,K06740.01,K06740.01,,Kepler,binary,FALSE POSITIVE,FALSE POSITIVE,0,1,0,0,1.053573674,1.70116,132.428012,445.3,3063.0,1.308,299.87,5838.0,3.038,7.385,12.97,NASA Exoplanet Archive KOI Cumulative Table,v1_600,42
KIC 6762188,6762188,K05323.01,K05323.01,,Kepler,binary,FALSE POSITIVE,FALSE POSITIVE,0,1,0,0,7.155547398,4.5711,133.998101,124.6,2568.8,0.883,48.93,4992.0,2.947,8.052,13.672,NASA Exoplanet Archive KOI Cumulative Table,v1_600,42
KIC 6778289,6778289,K06767.01,K06767.01,,Kepler,binary,FALSE POSITIVE,FALSE POSITIVE,0,1,0,0,30.130130001,13.4919,152.231115,2583.7,280750.0,0.631,83.75,6674.0,4.286,1.347,13.076,NASA Exoplanet Archive KOI Cumulative Table,v1_600,42
KIC 6802536,6802536,K04883.01,K04883.01,,Kepler,binary,FALSE POSITIVE,FALSE POSITIVE,0,1,0,0,2.9788702,9.3,133.5035183,,,,,,,,14.201,NASA Exoplanet Archive KOI Cumulative Table,v1_600,42
KIC 6859813,6859813,K06778.01,K06778.01,,Kepler,binary,FALSE POSITIVE,FALSE POSITIVE,0,1,0,0,10.88242209,5.51934,132.6767451,4284.2,206810.0,0.788,63.14,6200.0,4.422,1.045,12.068,NASA Exoplanet Archive KOI Cumulative Table,v1_600,42
KIC 6877673,6877673,K06784.01,K06784.01,,Kepler,binary,FALSE POSITIVE,FALSE POSITIVE,0,1,0,0,36.75892725,15.5723,156.0924573,4263.6,261730.0,0.298,51.31,6085.0,4.438,0.979,13.676,NASA Exoplanet Archive KOI Cumulative Table,v1_600,42
KIC 6948480,6948480,K02975.01,K02975.01,,Kepler,binary,FALSE POSITIVE,FALSE POSITIVE,0,1,0,0,175.329014,6.269,230.9292,16.7,1059.1,1.231,27.03,6008.0,4.499,0.93,15.31,NASA Exoplanet Archive KOI Cumulative Table,v1_600,42
KIC 6960446,6960446,K03654.01,K03654.01,,Kepler,binary,FALSE POSITIVE,FALSE POSITIVE,0,1,0,0,10.14873521,5.603,136.02501,250.9,116120.0,0.965,71.11,6366.0,4.239,1.296,16.798,NASA Exoplanet Archive KOI Cumulative Table,v1_600,42
KIC 6964043,6964043,K01351.01,K01351.01,,Kepler,binary,FALSE POSITIVE,FALSE POSITIVE,0,1,0,0,10.72396374,3.8439,357.14874,127.7,13518.0,1.25,39.84,5582.0,4.445,0.905,15.613,NASA Exoplanet Archive KOI Cumulative Table,v1_600,42
KIC 7024530,7024530,K03922.01,K03922.01,,Kepler,binary,FALSE POSITIVE,FALSE POSITIVE,0,1,0,0,66.1539783,5.896,156.97153,57.7,6951.0,0.873,9.69,6077.0,4.471,0.999,15.52,NASA Exoplanet Archive KOI Cumulative Table,v1_600,42
KIC 7032421,7032421,K01747.01,K01747.01,,Kepler,binary,FALSE POSITIVE,FALSE POSITIVE,0,1,0,0,20.55848388,1.449,133.00401,20.8,677.3,1.334,36.9,5578.0,4.484,0.936,14.792,NASA Exoplanet Archive KOI Cumulative Table,v1_600,42
KIC 7049486,7049486,K06815.01,K06815.01,,Kepler,binary,FALSE POSITIVE,FALSE POSITIVE,0,1,0,0,26.718417546,8.14155,138.0518033,2173.1,72976.0,1.069,66.69,5957.0,4.168,1.286,13.144,NASA Exoplanet Archive KOI Cumulative Table,v1_600,42
KIC 7125636,7125636,K06832.01,K06832.01,,Kepler,binary,FALSE POSITIVE,FALSE POSITIVE,0,1,0,0,6.49066214,3.47128,132.0676273,1680.0,195090.0,0.798,33.46,4448.0,4.684,0.563,15.507,NASA Exoplanet Archive KOI Cumulative Table,v1_600,42
